HurricaneName,FileID,NominalDate,NominalTime,WindSpeed,CentralPressure,bt_eye,bt_eyewall,EyeProbability,EyeCompleteness,EyeRadius,ArcherLat,ArcherLon,ArcherComboScore
TATIANA,0,116040,25000,19.8,1005.5,200.308,199.2201,1.0201,0.0,0.4,-17.9449,154.8793,13.0269
TATIANA,1,116040,55000,21.0,1004.0,201.7036,201.6933,1.169,0.0,0.3,-18.1175,154.3607,12.8465
TATIANA,2,116040,85000,22.1,1002.0,197.4651,197.4651,0.25564,0.0,0.05,-16.6467,154.6935,12.3236
TATIANA,3,116040,115000,23.2,1000.0,202.4586,202.4586,-3.6055,0.0,0.05,-16.7543,154.9672,15.7352
TATIANA,4,116040,145000,23.2,1000.0,200.6807,200.6807,-1.6482,0.0,0.05,-17.6997,155.1272,13.9781
TATIANA,5,116040,175000,23.2,1000.0,206.693,206.693,-0.53565,0.0,0.05,-15.645,154.2549,12.6891
TATIANA,6,116040,205000,24.45,999.5,282.1775,275.5168,0.077224,0.21918,0.7,-16.3939,154.5763,13.336
TATIANA,7,116040,235000,25.7,999.0,199.3848,199.3848,-0.27588,0.0,0.05,-16.66,154.4809,14.8668
TATIANA,8,116041,25000,25.7,999.5,198.5048,198.5048,-4.2164,0.0,0.05,-17.1807,154.975,14.8171
TATIANA,9,116041,55000,25.7,1000.0,193.08,193.08,-0.76118,0.0,0.05,-17.18,155.0638,15.3389
TATIANA,10,116041,60018,25.7,1000.0,-1.0,-1.0,,-1.0,0.05,-17.83,154.9338,10.2072
TATIANA,11,116041,85000,26.8,999.75,237.1911,222.2854,1.5021,1.0,0.7,-17.1545,155.4682,13.7091
TATIANA,12,116041,90018,26.8,999.75,-1.0,-1.0,,-1.0,0.05,-17.0295,155.0519,8.5512
TATIANA,13,116041,115000,27.9,999.0,187.3591,187.3591,-1.8859,0.0,0.05,-16.88,155.9174,16.1775
TATIANA,14,116041,120018,27.9,999.0,187.4885,187.4885,-1.1308,0.0,0.05,-17.055,155.4748,11.1461
TATIANA,15,116041,145000,29.15,998.0,185.53,185.53,-1.8694,0.0,0.05,-16.9448,155.8486,16.8743
TATIANA,16,116041,150018,29.15,998.0,189.7903,189.7903,-1.5842,0.0,0.25,-16.9948,155.3535,12.2356
TATIANA,17,116041,175000,30.4,997.0,190.0624,190.0624,-2.0162,0.0,0.05,-16.765,156.0515,16.9918
TATIANA,18,116041,180017,30.4,997.0,187.7497,187.7497,-0.30805,0.0,0.05,-16.69,155.6082,12.7093
