HurricaneName,FileID,observation_date,observation_time,WindSpeed,CentralPressure,bt_eye,bt_eyewall,EyeProbability,EyeCompleteness,EyeRadius,ArcherLat,ArcherLon,ArcherComboScore,Hurricane
ALEX,0,['2016-01-07'],['03:00'],37.4,1006.5,290.1253,272.5932,11.8775,0.082192,0.65,27.3451,-74.6274,7.3828,HURSAT_b1_v06_2016007N27285_ALEX_c20180912
ALEX,1,['2016-01-07'],['03:00'],37.4,1006.5,279.0611,273.7765,4.5357,0.0,0.6,27.7451,-74.4308,7.0219,HURSAT_b1_v06_2016007N27285_ALEX_c20180912
ALEX,2,['2016-01-07'],['06:00'],39.6,1003.0,288.1366,277.9887,49.5703,0.0,0.45,27.7,-73.8255,7.0673,HURSAT_b1_v06_2016007N27285_ALEX_c20180912
ALEX,3,['2016-01-07'],['06:00'],39.6,1003.0,-1.0,-1.0,,-1.0,0.4,27.825,-73.4305,4.9025,HURSAT_b1_v06_2016007N27285_ALEX_c20180912
ALEX,4,['2016-01-07'],['09:00'],41.8,1000.0,294.0016,293.9427,1.6158,0.0,0.4,26.5772,-73.8481,4.321,HURSAT_b1_v06_2016007N27285_ALEX_c20180912
ALEX,5,['2016-01-07'],['09:00'],41.8,1000.0,-1.0,-1.0,,-1.0,0.7,26.4022,-73.1961,3.0,HURSAT_b1_v06_2016007N27285_ALEX_c20180912
ALEX,6,['2016-01-07'],['12:00'],44.0,997.0,293.9396,293.5106,0.8269,0.0,0.7,27.8,-72.1184,3.6908,HURSAT_b1_v06_2016007N27285_ALEX_c20180912
ALEX,7,['2016-01-07'],['12:00'],44.0,997.0,287.8427,287.705,0.56112,0.0,0.7,28.4,-72.2039,2.2961,HURSAT_b1_v06_2016007N27285_ALEX_c20180912
ALEX,8,['2016-01-07'],['15:00'],46.2,992.0,289.7815,287.365,13.6579,0.0,0.5,29.4518,-72.8797,6.9325,HURSAT_b1_v06_2016007N27285_ALEX_c20180912
ALEX,9,['2016-01-07'],['15:00'],46.2,992.0,281.7404,281.7404,22.5097,0.0,0.65,29.5018,-72.6503,5.742,HURSAT_b1_v06_2016007N27285_ALEX_c20180912
ALEX,10,['2016-01-07'],['18:00'],48.4,987.0,289.5649,285.8024,13.4818,0.0,0.55,30.125,-72.0093,7.4316,HURSAT_b1_v06_2016007N27285_ALEX_c20180912
ALEX,11,['2016-01-07'],['18:00'],48.4,987.0,278.5922,278.5922,13.5087,0.0,0.35,30.3,-71.5762,6.6534,HURSAT_b1_v06_2016007N27285_ALEX_c20180912
ALEX,12,['2016-01-07'],['21:00'],48.4,986.5,284.9487,279.9188,44.7282,0.0,0.25,31.0478,-71.3265,7.4755,HURSAT_b1_v06_2016007N27285_ALEX_c20180912
ALEX,13,['2016-01-07'],['21:00'],48.4,986.5,277.0478,272.6681,25.8598,0.0,0.65,30.6478,-70.8031,6.4071,HURSAT_b1_v06_2016007N27285_ALEX_c20180912
ALEX,14,['2016-01-08'],['00:00'],48.4,986.0,-1.0,-1.0,,-1.0,0.2,31.325,-70.1021,5.7536,HURSAT_b1_v06_2016007N27285_ALEX_c20180912
ALEX,15,['2016-01-08'],['00:00'],48.4,986.0,-1.0,-1.0,,-1.0,0.55,33.35,-70.6879,4.7719,HURSAT_b1_v06_2016007N27285_ALEX_c20180912
ALEX,16,['2016-01-08'],['03:00'],48.4,986.0,-1.0,-1.0,,-1.0,0.7,31.1593,-67.533,5.6619,HURSAT_b1_v06_2016007N27285_ALEX_c20180912
